,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
357,petropavlovsk-kamchatskiy,RU,53.0452,158.6483,19.99,73,75,4.47,light snow
358,champerico,GT,14.3,-91.9167,90.14,69,57,6.24,broken clouds
359,zeya,RU,53.75,127.2667,-10.35,93,82,4.09,broken clouds
360,fort nelson,CA,58.8053,-122.7002,17.19,79,75,8.05,broken clouds
361,chiredzi,ZW,-21.05,31.6667,70.25,92,100,3.22,moderate rain
362,bandarbeyla,SO,9.4942,50.8122,78.08,76,11,16.02,few clouds
363,laguna,US,38.421,-121.4238,69.01,38,0,8.05,clear sky
364,havre-saint-pierre,CA,50.2334,-63.5986,34.16,93,100,5.75,mist
365,pampa,US,35.5362,-100.9599,41.58,100,100,8.05,light rain
366,bani,DO,18.2833,-70.3333,85.44,79,9,7.99,clear sky
367,rantepao,ID,-2.9701,119.8978,66.79,95,100,2.1,overcast clouds
368,bull savanna,JM,17.8868,-77.5902,79.34,78,21,10.83,few clouds
369,foindu,SL,7.4108,-11.5422,75.11,90,77,2.35,light rain
370,lengshuitan,CN,26.4111,111.5956,66.38,92,100,2.68,overcast clouds
371,uyuni,BO,-20.4597,-66.825,61.83,11,5,22.84,clear sky
372,narsaq,GL,60.9167,-46.05,25.66,79,94,5.37,overcast clouds
373,port lincoln,AU,-34.7333,135.8667,60.44,70,89,12.82,overcast clouds
374,mackay,AU,-21.15,149.2,82.69,68,13,6.78,few clouds
375,skerries,IE,53.5828,-6.1083,58.12,73,100,23.8,overcast clouds
376,cabedelo,BR,-6.9811,-34.8339,81.27,77,100,10.33,overcast clouds
377,chinu,CO,9.1057,-75.3981,79.03,88,100,8.57,overcast clouds
378,xingtai,CN,37.0631,114.4942,37.45,30,94,6.62,overcast clouds
379,grahamstown,ZA,-33.3042,26.5328,55.96,95,33,1.68,scattered clouds
380,lyubech,UA,51.7026,30.6569,31.68,99,100,5.61,light snow
381,cockburn town,TC,21.4612,-71.1419,82.36,65,40,9.22,scattered clouds
382,campbell river,CA,50.0163,-125.2446,47.73,100,100,0.0,overcast clouds
383,nurota,UZ,40.5614,65.6886,44.44,53,0,7.25,clear sky
384,goksun,TR,38.021,36.4973,35.55,85,33,5.5,scattered clouds
385,san carlos de bariloche,AR,-41.1456,-71.3082,85.75,8,20,8.05,few clouds
386,imperia,IT,43.9667,7.7833,52.0,33,8,7.94,clear sky
387,perama,GR,37.9757,23.5828,55.89,61,20,5.75,few clouds
388,lupiro,TZ,-8.3833,36.6667,71.2,90,40,4.5,light rain
389,hambantota,LK,6.1241,81.1185,73.74,100,40,1.14,scattered clouds
390,san vicente,AR,-26.6167,-54.1333,73.22,66,9,3.36,clear sky
391,dzhebariki-khaya,RU,62.2167,135.8,-52.4,100,63,0.72,broken clouds
392,saint-francois,FR,46.4154,3.9054,40.44,93,100,3.44,overcast clouds
393,atlantic beach,US,30.3344,-81.3987,73.65,90,75,9.22,broken clouds
394,shingu,JP,33.7333,135.9833,52.18,86,0,6.6,clear sky
395,gat,IL,31.61,34.7642,61.39,100,98,4.16,overcast clouds
396,aksarayskiy,RU,46.7924,48.0119,40.5,80,100,18.16,overcast clouds
397,kibre mengist,ET,5.8833,38.9833,55.33,91,100,2.46,overcast clouds
398,yulara,AU,-25.2406,130.9889,73.44,55,44,13.04,scattered clouds
399,rosetta,EG,31.4044,30.4164,64.58,55,98,4.5,overcast clouds
400,medea,DZ,36.2642,2.7539,42.49,94,5,0.94,clear sky
401,warora,IN,20.2333,79.0,58.98,49,2,4.9,clear sky
402,tateyama,JP,34.9833,139.8667,57.09,76,0,14.94,clear sky
403,villiers,ZA,-27.0303,28.6006,55.58,92,100,11.52,light rain
404,clyde river,CA,70.4692,-68.5914,-7.37,77,100,5.75,light snow
405,padang,ID,-0.9492,100.3543,73.45,84,95,3.15,moderate rain
406,masoko,TZ,-9.3333,33.75,69.98,65,92,3.65,overcast clouds
407,lagoa,PT,39.05,-27.9833,60.51,57,14,8.05,few clouds
408,praia da vitoria,PT,38.7333,-27.0667,56.75,94,20,6.24,few clouds
409,los llanos de aridane,ES,28.6585,-17.9182,64.15,56,40,8.05,scattered clouds
410,kandi,BJ,11.1342,2.9386,74.77,22,88,4.59,overcast clouds
411,mount isa,AU,-20.7333,139.5,85.77,48,40,4.61,scattered clouds
412,moindou,NC,-21.6924,165.677,78.82,54,0,2.93,clear sky
413,haines junction,CA,60.7522,-137.5108,16.48,84,100,4.83,overcast clouds
414,canton,CN,23.1167,113.25,70.88,86,100,6.62,overcast clouds
415,gardez,AF,33.5974,69.2259,39.33,34,0,1.86,clear sky
416,mahajanga,MG,-15.7167,46.3167,75.22,88,20,2.3,few clouds
417,zyryanskoye,RU,56.8306,86.6258,-15.63,88,100,8.72,overcast clouds
418,havelock,US,34.8791,-76.9013,57.94,67,90,2.84,overcast clouds
419,harper,LR,4.375,-7.7169,78.3,84,6,6.31,light rain
420,ostrovnoy,RU,68.0531,39.5131,21.63,91,16,18.97,few clouds
421,agirish,RU,61.9247,63.0231,-5.85,97,11,4.07,few clouds
422,selikhino,RU,50.3672,137.4996,11.41,94,100,4.5,overcast clouds
423,kiruna,SE,67.8557,20.2251,27.52,93,100,11.5,overcast clouds
424,mount pleasant,US,32.7941,-79.8626,68.14,78,0,9.22,clear sky
425,koungou,YT,-12.7336,45.2042,76.71,78,0,4.61,clear sky
426,esso,RU,55.9333,158.7,10.63,97,98,7.45,overcast clouds
427,borba,BR,-4.3878,-59.5939,75.69,94,99,3.67,overcast clouds
428,san patricio,US,28.017,-97.5169,68.09,50,0,12.17,clear sky
429,bastia,FR,42.6667,9.3333,59.31,65,0,11.5,clear sky
430,rancho palos verdes,US,33.7445,-118.387,73.98,61,0,7.0,clear sky
431,palana,RU,59.1167,159.9667,12.16,77,99,8.68,overcast clouds
432,port keats,AU,-14.25,129.55,81.09,80,100,4.12,overcast clouds
433,naryan-mar,RU,67.6713,53.087,13.21,93,99,14.36,overcast clouds
434,botou,CN,38.0667,116.5667,39.52,66,100,4.27,overcast clouds
435,bejar,ES,40.3864,-5.7634,42.58,27,100,2.57,overcast clouds
436,atherton,GB,53.5237,-2.4935,54.28,90,100,7.0,overcast clouds
437,kattivakkam,IN,13.2167,80.3167,78.89,84,51,0.07,light rain
438,corbelia,BR,-24.7989,-53.3067,70.83,72,85,8.34,overcast clouds
439,islaz,RO,43.7333,24.75,40.62,66,90,0.65,overcast clouds
440,camacha,PT,33.0833,-16.3333,63.82,77,0,4.61,clear sky
441,okato,NZ,-39.2,173.8833,58.68,93,100,15.17,overcast clouds
442,vila franca do campo,PT,37.7167,-25.4333,60.19,73,100,5.21,overcast clouds
443,bisira,PA,8.5196,-81.7115,62.85,96,99,2.39,moderate rain
444,evensk,RU,61.95,159.2333,1.0,82,100,12.24,overcast clouds
445,alexandria,EG,31.2156,29.9553,57.74,52,100,4.88,overcast clouds
446,opuwo,NA,-18.0607,13.84,75.24,25,23,5.48,few clouds
447,bayeux,BR,-7.125,-34.9322,78.35,79,96,8.46,overcast clouds
448,atasu,KZ,48.6814,71.6433,-9.47,79,7,9.75,clear sky
449,boquira,BR,-12.8231,-42.7306,69.22,92,100,2.13,light rain
450,bouna,CI,9.2667,-3.0,76.3,25,2,1.39,clear sky
451,kyra,RU,49.5776,111.9753,0.97,96,100,3.96,overcast clouds
452,kushmurun,KZ,52.4503,64.6311,0.01,83,100,7.72,overcast clouds
453,mwinilunga,ZM,-11.7358,24.4293,61.75,95,100,2.1,overcast clouds
454,wschowa,PL,51.807,16.3166,41.9,90,100,1.83,overcast clouds
455,luwuk,ID,-0.9516,122.7875,77.59,81,64,2.55,broken clouds
456,pinerolo,IT,44.8833,7.35,44.94,57,12,4.14,few clouds
457,matagami,CA,49.7502,-77.6328,35.35,94,100,7.94,overcast clouds
458,mumford,GH,5.2618,-0.759,79.72,82,27,9.46,scattered clouds
459,miri,MY,4.4148,114.0089,74.71,94,86,3.78,overcast clouds
460,barabai,ID,-2.5833,115.3833,72.54,98,98,1.03,overcast clouds
461,bucerias,MX,20.75,-105.3333,78.98,70,34,6.2,scattered clouds
462,coari,BR,-4.085,-63.1414,74.91,97,100,0.78,overcast clouds
463,ust-maya,RU,60.4167,134.5333,-50.44,100,67,0.51,broken clouds
464,kangundo,KE,-1.2979,37.3471,61.14,82,93,1.01,overcast clouds
465,edd,ER,13.9297,41.6925,81.14,57,1,15.41,clear sky
466,shimoda,JP,34.6667,138.95,54.1,75,0,9.1,clear sky
467,puerto del rosario,ES,28.5004,-13.8627,69.55,73,20,6.91,few clouds
468,tripoli,LY,32.8752,13.1875,64.56,60,40,29.62,light rain
469,luanda,AO,-8.8368,13.2343,77.0,94,75,2.3,broken clouds
470,merauke,ID,-8.4667,140.3333,79.16,80,100,5.53,overcast clouds
471,solnechnyy,RU,50.7214,136.6319,7.02,91,96,3.58,overcast clouds
472,lugovoy,KZ,42.9472,72.7644,28.18,73,71,6.46,broken clouds
473,san javier,ES,37.8063,-0.8374,57.13,70,17,5.99,few clouds
474,kirensk,RU,57.7853,108.1119,-23.28,99,100,2.35,overcast clouds
475,fort thomas,US,39.0751,-84.4472,54.55,53,98,1.01,overcast clouds
476,sarankhola,BD,22.3082,89.7897,62.13,63,0,4.34,clear sky
477,alofi,NU,-19.0595,-169.9187,79.3,80,54,11.83,broken clouds
478,imeni zhelyabova,RU,58.9544,36.5956,12.85,98,81,4.09,broken clouds
479,durango,MX,24.8333,-104.8333,69.98,9,0,7.27,clear sky
480,inyonga,TZ,-6.7167,32.0667,74.03,50,100,4.25,overcast clouds
481,taoudenni,ML,22.6783,-3.9836,75.24,20,83,10.29,broken clouds
482,koppang,NO,61.5706,11.0555,33.37,98,100,6.44,overcast clouds
483,jumla,NP,29.2747,82.1838,43.05,45,47,4.81,scattered clouds
484,cidreira,BR,-30.1811,-50.2056,71.1,88,1,14.5,clear sky
485,homer,US,59.6425,-151.5483,32.81,51,13,10.0,few clouds
486,verkhnyaya inta,RU,65.9811,60.3094,-5.96,96,73,8.37,broken clouds
487,svetlyy,RU,54.675,20.1347,35.65,96,100,7.31,overcast clouds
488,rio claro,BR,-22.4114,-47.5614,72.82,57,70,8.86,broken clouds
489,lasa,IT,46.6166,10.7002,32.36,59,14,3.74,few clouds
490,rawson,AR,-43.3002,-65.1023,61.43,61,4,15.39,clear sky
491,tandur,IN,17.2333,77.5833,67.64,59,3,5.99,clear sky
492,porto novo,BJ,6.4965,2.6036,80.31,80,76,8.93,broken clouds
493,port macquarie,AU,-31.4333,152.9167,70.9,69,99,8.63,overcast clouds
494,bairiki,KI,1.3292,172.9752,79.65,75,64,5.1,broken clouds
495,payakumbuh,ID,-0.2202,100.6308,67.86,95,100,2.91,light rain
496,ipixuna,BR,-1.7625,-48.8043,79.66,78,25,6.4,scattered clouds
497,grenfell,AU,-33.9,148.1667,69.4,48,100,15.35,light rain
498,victoria,HK,22.2855,114.1577,73.45,89,96,13.0,overcast clouds
499,coihaique,CL,-45.5752,-72.0662,62.28,53,100,7.05,overcast clouds
500,alberton,CA,46.8168,-64.0654,37.74,85,100,22.19,overcast clouds
501,tautira,PF,-17.7333,-149.15,76.6,78,38,11.14,scattered clouds
502,pingliang,CN,35.5392,106.6861,38.71,89,14,3.56,few clouds
503,inhambane,MZ,-23.865,35.3833,74.97,88,100,4.18,light rain
504,yangambi,CD,0.8102,24.4336,68.31,97,100,1.97,overcast clouds
505,puebloviejo,CO,10.9938,-74.2844,86.04,78,98,1.79,overcast clouds
506,noumea,NC,-22.2763,166.4572,80.58,99,1,6.11,clear sky
507,nouadhibou,MR,20.931,-17.0347,71.13,60,0,15.73,clear sky
508,maua,BR,-23.6678,-46.4614,69.37,92,98,6.2,overcast clouds
509,beisfjord,NO,68.3751,17.5988,32.05,81,96,9.55,overcast clouds
510,mount darwin,ZW,-16.7725,31.5838,76.37,42,82,5.91,broken clouds
511,tall kayf,TR,37.0833,41.0667,51.85,86,97,9.22,overcast clouds
512,kokopo,PG,-4.352,152.2633,83.23,69,100,7.67,overcast clouds
513,quebec,CA,46.8123,-71.2145,37.49,80,98,5.01,overcast clouds
514,urumqi,CN,43.801,87.6005,11.35,85,100,4.47,mist
515,bilma,NE,18.6853,12.9164,68.31,23,0,5.46,clear sky
516,vostok,RU,46.4856,135.8833,3.63,98,100,3.6,overcast clouds
517,koroni,GR,36.8,21.95,54.07,63,100,15.9,overcast clouds
518,upata,VE,8.0086,-62.3989,77.2,91,100,4.38,light rain
519,altus,US,34.6381,-99.334,47.71,89,100,16.11,light rain
520,totness,SR,5.8833,-56.3167,77.88,91,98,9.37,overcast clouds
521,klyuchi,RU,52.2667,79.1667,-14.82,96,51,2.21,broken clouds
522,omboue,GA,-1.5746,9.2618,74.57,90,83,2.28,broken clouds
523,haimen,CN,23.1935,116.6142,68.77,83,100,16.2,overcast clouds
524,bafoulabe,ML,13.8065,-10.8321,80.35,15,100,5.44,overcast clouds
525,yokadouma,CM,3.5167,15.05,70.95,82,34,2.26,scattered clouds
526,dunedin,NZ,-45.8742,170.5036,53.8,66,17,4.0,few clouds
527,corner brook,CA,48.9667,-57.9484,35.04,99,100,8.99,snow
528,anamur,TR,36.0751,32.8369,57.9,48,86,7.49,overcast clouds
529,poykovskiy,RU,61.2333,73.3333,-3.71,70,100,8.95,light snow
530,miraflores,MX,19.2167,-98.8083,74.05,45,6,6.13,clear sky
531,alice springs,AU,-23.7,133.8833,72.95,88,40,0.0,scattered clouds
532,songjianghe,CN,42.1859,127.479,14.86,79,93,3.69,overcast clouds
533,xuddur,SO,4.1213,43.8894,74.52,72,98,9.98,overcast clouds
534,muros,ES,42.7762,-9.0603,60.1,73,100,17.49,overcast clouds
535,pekan,MY,3.4836,103.3996,78.96,89,97,1.74,overcast clouds
536,quthing,LS,-30.4,27.7003,56.52,75,73,4.9,broken clouds
537,nome,US,64.5011,-165.4064,14.16,78,14,9.69,few clouds
538,muzhi,RU,65.3667,64.6667,-1.62,96,36,5.46,scattered clouds
539,kenai,US,60.5544,-151.2583,22.14,83,25,3.04,scattered clouds
540,grimshaw,CA,56.1834,-117.6027,38.32,59,96,11.68,overcast clouds
541,rock springs,US,41.5875,-109.2029,36.05,76,100,13.8,overcast clouds
542,adrar,MR,20.5022,-10.0711,71.74,13,100,8.86,overcast clouds
543,ambanja,MG,-13.6833,48.45,75.22,84,86,1.5,overcast clouds
544,vao,NC,-22.6667,167.4833,73.74,63,1,8.3,clear sky
545,bonavista,CA,48.6499,-53.1147,37.8,89,100,24.65,overcast clouds
546,khandbari,NP,27.3747,87.2039,56.57,74,0,3.11,clear sky
547,viedma,AR,-40.8135,-62.9967,73.17,49,22,17.07,few clouds
548,nagorsk,RU,59.3172,50.8078,10.72,98,71,3.51,broken clouds
549,key largo,US,25.0865,-80.4473,82.0,72,60,8.39,broken clouds
550,nkowakowa,ZA,-23.8878,30.2871,67.77,95,100,1.21,moderate rain
551,praia,CV,14.9215,-23.5087,76.48,74,0,12.88,clear sky
552,surgut,RU,61.25,73.4167,-3.82,70,100,8.99,light snow
553,seydi,TM,39.4816,62.9137,45.3,57,0,10.98,clear sky
554,avera,US,33.194,-82.5271,63.91,56,91,6.06,overcast clouds
555,salalah,OM,17.0151,54.0924,74.98,63,0,2.06,clear sky
556,arbazh,RU,57.6804,48.3065,12.45,99,89,4.76,overcast clouds
557,caninde,BR,-4.3589,-39.3117,83.59,54,100,6.42,overcast clouds
558,yurkivka,UA,49.0126,31.1013,34.27,98,100,10.42,light snow
559,aklavik,CA,68.2191,-135.0107,4.46,95,100,12.39,light snow
560,namibe,AO,-15.1961,12.1522,71.85,82,78,4.63,broken clouds
561,goya,AR,-29.14,-59.2626,90.46,19,2,10.33,clear sky
562,petropavl,KZ,54.8753,69.1628,-6.43,89,19,5.06,few clouds
563,atar,MR,20.5169,-13.0499,74.37,19,44,7.45,scattered clouds
564,santa rosa,PH,14.3122,121.1114,78.78,91,31,7.05,scattered clouds
565,sokoto,NG,13.0609,5.239,73.54,16,92,10.04,overcast clouds
566,nacozari,MX,25.3366,-108.2574,83.05,19,0,9.1,clear sky
567,makakilo city,US,21.3469,-158.0858,79.12,55,40,13.8,scattered clouds
568,mantua,IT,45.1667,10.7833,43.84,88,0,4.18,clear sky
569,llanes,ES,43.4198,-4.7549,53.89,46,87,5.26,overcast clouds
570,ahipara,NZ,-35.1667,173.1667,60.75,92,100,9.78,light rain
571,villacarrillo,ES,38.1156,-3.0848,48.43,27,31,3.09,scattered clouds
572,luis correia,BR,-2.8792,-41.6669,84.2,79,20,12.66,few clouds
573,porbandar,IN,21.6422,69.6093,72.82,43,0,7.85,clear sky
574,puerto colombia,CO,10.9878,-74.9547,82.13,79,94,9.66,light rain
575,nioro,GM,13.35,-15.75,81.95,17,100,3.51,overcast clouds
576,fortuna,US,40.5982,-124.1573,57.92,74,100,9.22,overcast clouds
577,meulaboh,ID,4.1363,96.1285,74.88,89,100,4.5,overcast clouds
578,torit,SS,4.4133,32.5678,80.35,47,100,2.17,overcast clouds
579,hervey bay,AU,-25.2986,152.8535,77.0,72,44,13.11,scattered clouds
580,skovorodino,RU,53.9833,123.9167,-15.68,94,97,2.8,overcast clouds
581,omsukchan,RU,62.5333,155.8,-25.22,86,100,4.21,overcast clouds
582,nova olinda do norte,BR,-3.8881,-59.0942,75.49,94,100,3.0,overcast clouds
583,katsuura,JP,35.1333,140.3,57.45,80,2,15.35,clear sky
584,handan,CN,36.6006,114.4678,40.68,27,100,7.85,overcast clouds
585,namatanai,PG,-3.6667,152.4333,83.75,69,98,4.47,overcast clouds
586,novo aripuana,BR,-5.1206,-60.3797,74.08,96,100,3.74,overcast clouds
587,alta floresta,BR,-9.8756,-56.0861,73.65,94,100,4.21,overcast clouds
588,camana,PE,-16.6228,-72.7111,69.78,82,17,7.99,few clouds
589,batsfjord,NO,70.6345,29.7185,31.93,86,100,27.63,overcast clouds
590,chapada dos guimaraes,BR,-15.4606,-55.7497,87.46,29,45,3.09,scattered clouds
591,wamba,NG,8.9333,8.6,74.23,33,4,4.21,clear sky
592,manzhouli,CN,49.6,117.4333,-0.76,83,100,8.5,overcast clouds
593,sipovo,BA,44.2814,17.0839,40.68,99,100,4.25,overcast clouds
594,marzuq,YE,14.4,46.4667,62.13,48,2,0.72,clear sky
595,mahanoro,MG,-19.9,48.8,69.87,86,14,3.76,few clouds
596,samana,DO,19.2056,-69.3369,80.56,85,12,6.87,few clouds
597,braganca,BR,-1.0536,-46.7656,78.49,74,52,4.38,broken clouds
598,beyneu,KZ,45.3167,55.2,39.6,71,100,23.0,overcast clouds
599,picton,AU,-34.1833,150.6,64.76,46,97,4.29,overcast clouds
600,trincomalee,LK,8.5711,81.2335,79.66,75,97,9.55,overcast clouds
601,batemans bay,AU,-35.7167,150.1833,68.74,61,100,6.29,overcast clouds
602,westport,US,41.1415,-73.3579,53.22,48,0,4.61,clear sky
603,shubarshi,KZ,48.5872,57.1869,21.76,60,92,17.02,overcast clouds
604,machhlishahr,IN,25.6833,82.4167,59.72,46,0,3.8,clear sky
605,smithfield,US,41.922,-71.5495,49.24,56,0,9.22,clear sky
606,kolosovka,RU,56.4678,73.611,-9.27,91,100,4.61,overcast clouds
607,dawei,MM,14.0833,98.2,74.62,94,100,2.82,overcast clouds
608,palmares do sul,BR,-30.2578,-50.5097,71.51,85,1,13.94,clear sky
609,vaxjo,SE,56.8777,14.8091,36.63,100,100,2.3,overcast clouds
610,talcahuano,CL,-36.7167,-73.1167,61.11,77,0,6.29,clear sky
611,diamantino,BR,-14.4086,-56.4461,85.73,46,70,5.06,broken clouds
612,kashi,CN,39.4547,75.9797,46.74,22,1,6.73,clear sky
613,arawa,PG,-6.2132,155.5367,81.28,83,91,4.63,light rain
614,iquitos,PE,-3.7481,-73.2472,80.64,78,75,2.3,moderate rain
615,pitkyaranta,RU,61.5734,31.4792,18.12,92,99,8.79,overcast clouds
616,dauphin,CA,51.1494,-100.0502,30.65,80,3,13.51,clear sky
617,hofn,IS,64.2539,-15.2082,43.38,84,100,16.24,overcast clouds
618,akdepe,TM,42.0551,59.3788,38.66,55,96,14.7,overcast clouds
619,flin flon,CA,54.7682,-101.865,19.69,84,93,8.1,overcast clouds
620,kluang,MY,2.0251,103.3328,79.99,96,100,1.03,overcast clouds
621,yamada,JP,39.4667,141.95,42.4,63,1,6.73,clear sky
622,shahr-e babak,IR,30.1165,55.1186,50.32,46,0,0.45,clear sky
623,aberdeen,GB,57.1437,-2.0981,50.54,93,100,27.63,overcast clouds
624,gumdag,TM,39.2061,54.5906,54.43,38,8,23.29,clear sky
625,sao miguel do araguaia,BR,-13.275,-50.1628,73.04,93,74,5.32,broken clouds
626,manokwari,ID,-0.8667,134.0833,78.93,76,100,3.13,overcast clouds
627,ilhabela,BR,-23.7781,-45.3581,71.76,84,100,2.95,overcast clouds
628,dhanbad,IN,23.8,86.45,61.36,49,50,4.23,scattered clouds
629,xichang,CN,27.8964,102.2634,44.71,75,0,1.34,clear sky
630,guangyuan,CN,32.442,105.823,55.96,86,83,0.36,broken clouds
631,victoria point,AU,-27.5833,153.3,78.08,74,81,1.01,broken clouds
632,elko,US,41.0002,-115.5012,37.63,71,67,5.01,broken clouds
633,ponca city,US,36.707,-97.0856,48.88,97,100,12.66,mist
634,lata,PT,40.1629,-8.3327,46.92,69,99,3.38,overcast clouds
635,santa rita,BR,-7.1139,-34.9781,79.47,83,0,6.91,clear sky
636,newport,GB,51.5877,-2.9984,54.82,86,100,24.36,light rain
637,turayf,SA,31.6725,38.6637,52.14,70,23,5.28,few clouds
638,okha,RU,53.5739,142.9478,24.44,84,100,23.78,overcast clouds
639,chumikan,RU,54.7183,135.315,-6.25,85,39,10.49,scattered clouds
640,colquechaca,BO,-18.6667,-66.0167,42.8,24,39,23.11,scattered clouds
641,fengrun,CN,39.8333,118.1167,33.96,55,100,5.21,overcast clouds
642,rio gallegos,AR,-51.6226,-69.2181,66.25,22,20,20.71,few clouds
643,rupert,US,42.6191,-113.6772,39.15,70,20,16.11,few clouds
644,oistins,BB,13.0667,-59.5333,80.69,83,40,18.41,scattered clouds
645,belford roxo,BR,-22.7642,-43.3994,75.69,78,75,9.22,broken clouds
646,kwakoa,TZ,-3.7667,37.7167,67.87,91,60,3.24,broken clouds
647,rocha,UY,-34.4833,-54.3333,69.67,74,2,12.28,clear sky
648,nakamura,JP,32.9833,132.9333,48.88,88,0,5.26,clear sky
649,sciacca,IT,37.5082,13.0881,57.04,84,83,12.03,broken clouds
650,jizan,SA,17.3333,42.6667,80.53,72,65,3.58,broken clouds
651,lavrentiya,RU,65.5833,-171.0,7.38,81,22,7.34,few clouds
652,coquimbo,CL,-29.9533,-71.3436,64.13,77,20,11.5,few clouds
653,terney,RU,45.0503,136.6092,19.0,68,15,8.97,few clouds
654,slavutych,UA,51.5196,30.7343,31.89,99,100,6.11,light snow
655,wanning,CN,18.8003,110.3967,76.77,89,67,4.07,broken clouds
656,barra do garcas,BR,-15.89,-52.2567,82.17,57,25,8.41,scattered clouds
657,sarangani,PH,5.4033,125.4636,82.35,72,73,10.51,broken clouds
658,zhezkazgan,KZ,47.8043,67.7144,5.45,57,35,17.18,scattered clouds
659,aswan,EG,24.0934,32.907,64.56,39,7,9.24,clear sky
660,oussouye,SN,12.485,-16.5469,77.99,51,100,4.0,overcast clouds
661,maltahohe,NA,-24.8333,16.9833,71.13,16,0,10.58,clear sky
662,sri aman,MY,1.2376,111.4621,72.09,98,99,1.48,light rain
663,kurtamysh,RU,54.9103,64.4319,-6.43,87,15,6.58,few clouds
664,dalvik,IS,65.9702,-18.5286,38.19,97,100,1.32,overcast clouds
665,haridwar,IN,29.9667,78.1667,57.79,57,92,2.89,overcast clouds
666,baruun-urt,MN,46.6806,113.2792,7.43,96,80,4.68,broken clouds
667,fort saint james,CA,54.4333,-124.25,40.46,71,81,19.19,broken clouds
668,hay river,CA,60.8156,-115.7999,14.79,92,100,4.5,overcast clouds
669,preobrazheniye,RU,42.9019,133.9064,23.85,58,1,6.6,clear sky
670,chicama,PE,-7.8447,-79.1469,66.74,70,54,9.64,broken clouds
671,mehamn,NO,71.0357,27.8492,31.91,86,96,11.5,overcast clouds
672,santa isabel do rio negro,BR,-0.4139,-65.0192,80.64,79,97,1.81,moderate rain
673,amahai,ID,-3.3333,128.9167,78.62,82,57,5.21,broken clouds
674,soyo,AO,-6.1349,12.3689,77.65,85,98,6.71,overcast clouds
675,zelenogradsk,RU,54.9589,20.4767,35.65,85,100,8.95,overcast clouds
676,kaka,TM,37.3482,59.6143,55.96,33,2,5.08,clear sky
677,saint-louis,SN,16.3333,-15.0,82.9,10,100,10.69,overcast clouds
678,yei,SS,4.095,30.6779,71.01,75,100,2.93,overcast clouds
679,bara,NG,10.3744,10.7288,71.94,24,1,7.47,clear sky
680,ishigaki,JP,24.3448,124.1572,75.97,74,100,14.16,overcast clouds
681,quatre cocos,MU,-20.2078,57.7625,72.09,67,22,11.21,few clouds
682,saint simons,US,31.1352,-81.3901,67.01,97,100,5.75,light rain
683,dobsina,SK,48.8207,20.3699,36.55,96,71,2.93,broken clouds
684,labuan,MY,5.2767,115.2417,80.08,80,97,6.42,overcast clouds
685,astaneh-ye ashrafiyeh,IR,37.2596,49.9444,59.65,80,0,5.79,clear sky
686,kavaratti,IN,10.5669,72.642,80.92,72,88,7.14,overcast clouds
687,ondjiva,AO,-17.0667,15.7333,75.56,50,38,5.32,scattered clouds
688,koslan,RU,63.4564,48.8989,-2.88,97,100,1.03,overcast clouds
689,yuanping,CN,38.7153,112.7575,28.13,43,34,0.89,scattered clouds
690,northam,GB,51.0333,-4.2167,56.25,93,100,20.89,light rain
691,sangar,RU,63.9242,127.4739,-42.03,100,53,1.66,broken clouds
692,dire,ML,12.2833,-10.9667,74.91,21,28,2.04,scattered clouds
693,seddon,AU,-37.8068,144.8916,62.71,75,75,10.36,broken clouds
694,bardiyah,LY,31.7561,25.0865,63.25,64,100,9.84,overcast clouds
695,ust-kuyga,RU,70.0167,135.6,-45.11,100,94,6.71,overcast clouds
696,ambilobe,MG,-13.2,49.05,73.11,69,0,4.38,clear sky
697,kandrian,PG,-6.2167,149.55,82.67,76,82,6.62,broken clouds
698,graham,US,47.0529,-122.2943,45.39,88,100,8.05,overcast clouds
699,camargo,MX,27.6667,-105.1667,64.85,15,0,5.93,clear sky
700,san jeronimo,PE,-11.9472,-75.2829,56.84,61,91,7.43,overcast clouds
701,zaozerne,UA,45.1582,33.2787,47.32,89,100,13.33,overcast clouds
702,lamu,KE,-2.2717,40.902,77.22,83,21,7.4,few clouds
703,pila,PL,53.1515,16.7378,36.81,97,100,3.42,overcast clouds
704,wajir,KE,1.7471,40.0573,80.96,58,100,8.57,overcast clouds
